1	8	12	18	24	28
2	7	13	18	23	28
3	6	14	18	22	28
4	9	14	19	23	29
5	7	12	19	23	27
6	8	13	19	22	28
7	7	13	17	23	26
8	6	14	16	24	26
9	7	13	16	21	26
10	8	13	19	23	28
11	9	13	16	24	29
12	6	14	17	23	28
13	8	14	16	23	26
14	6	14	17	21	27
15	7	14	18	24	28
16	8	14	17	23	26
17	7	12	17	23	29
18	8	13	19	23	28
19	6	12	19	24	26
20	8	12	16	24	28
21	7	11	19	21	26
22	8	13	18	24	26
23	6	14	17	23	28
24	9	14	18	21	29
25	9	13	17	24	29
26	8	14	18	21	29
27	6	12	17	22	28
28	6	11	18	22	28
29	9	14	18	22	27
30	6	11	19	21	29
31	6	13	17	21	27
32	6	14	17	24	26
33	6	14	16	21	29
34	8	11	19	24	27
35	6	11	19	22	28
36	9	12	17	22	27
37	6	13	19	24	26
38	7	12	19	22	28
39	8	12	16	24	29
40	9	11	18	22	29
41	6	11	17	21	26
42	8	13	19	21	29
43	7	11	18	21	28
44	9	12	16	22	29
45	9	13	18	21	29
46	8	11	19	21	29
47	9	11	16	22	28
48	6	11	19	22	27
49	7	14	19	23	28
50	6	11	17	21	27
51	7	11	19	21	27
52	8	14	17	21	29
53	7	13	16	21	29
54	8	12	16	22	28
55	7	13	18	24	28
56	6	14	17	21	29
57	7	11	17	24	28
58	6	14	18	24	27
59	8	14	18	24	26
60	9	14	19	21	26
61	8	12	16	22	28
62	7	12	19	24	29
63	7	11	16	22	27
64	6	14	19	23	26
65	8	11	16	21	29
66	6	11	17	23	26
67	8	12	17	23	27
68	7	14	19	23	26
69	8	13	17	21	29
70	7	13	18	23	29
71	8	11	18	22	26
72	9	12	16	22	29
73	7	14	17	21	29
74	7	12	17	23	29
75	8	12	18	21	26
76	6	13	18	24	27
77	7	14	19	21	28
