1	2	8
1	3	8
1	4	4
1	5	5
1	6	7
1	7	2
1	8	5
1	9	8
1	10	1
1	11	7
1	22	5
1	23	7
1	24	8
2	12	2
2	31	4
3	13	2
3	32	1
4	14	6
4	33	7
5	15	8
5	34	9
6	16	9
6	35	4
7	17	2
7	36	2
8	18	1
8	37	6
9	19	8
9	38	6
10	20	4
10	39	7
11	21	6
11	40	7
12	53	9
13	53	1
14	53	4
15	22	1
15	25	6
16	23	6
16	26	9
17	24	2
17	27	1
18	53	4
19	53	3
20	53	8
21	53	5
22	25	9
23	26	3
24	27	8
25	28	7
26	28	3
27	28	4
28	29	2
29	30	4
30	31	5
30	32	5
30	33	2
30	34	3
30	35	3
30	36	3
30	37	4
30	38	4
30	39	4
30	40	8
13	31	9
31	41	5
13	32	8
32	41	4
13	33	2
33	41	4
13	34	8
34	41	3
13	35	1
35	41	6
13	36	8
36	41	7
13	37	4
37	41	7
13	38	9
38	41	7
13	39	5
39	41	2
13	40	7
40	41	3
41	42	8
42	43	7
42	44	3
42	45	8
42	46	5
42	47	7
42	48	8
42	49	1
42	50	1
42	51	9
42	52	5
43	53	7
44	53	2
45	53	6
46	53	5
47	53	3
48	53	4
49	53	6
50	53	9
51	53	9
52	53	6
