1	9	14	18
2	8	13	18
3	6	11	17
4	7	12	17
5	8	13	18
6	7	12	19
7	8	13	17
8	8	11	18
9	7	12	18
10	7	12	16
11	6	14	16
12	8	13	19
13	6	13	17
14	7	14	16
15	6	12	16
16	8	11	18
17	8	11	16
18	6	12	18
19	6	11	16
20	7	14	18
21	7	12	17
22	6	12	17
23	8	13	16
24	7	13	19
25	7	13	16
26	6	14	18
27	9	11	19
28	9	13	18
29	8	12	19
30	9	13	17
31	7	12	18
32	7	13	18
33	8	11	18
34	6	13	16
35	7	11	17
36	7	13	19
37	7	11	17
38	9	14	17
39	8	13	18
40	8	11	19
41	9	11	17
42	9	12	19
43	6	12	17
44	6	12	16
45	7	11	16
46	6	11	18
47	6	13	16
48	9	12	18
49	7	13	19
50	8	14	17
51	9	14	16
52	9	13	17
53	7	13	18
54	9	12	16
55	8	12	17
56	9	12	17
57	7	13	16
58	9	13	19
59	9	14	18
60	7	14	17
61	8	14	19
62	7	11	18
63	9	11	18
64	9	12	19
65	9	11	17
66	9	12	16
67	6	13	17
68	9	12	17
69	8	11	18
70	6	13	19
71	9	13	16
72	9	14	19
73	7	14	16
74	7	12	16
75	8	14	19
76	7	12	17
77	8	11	16
78	7	14	16
79	9	11	19
80	6	11	16
81	8	11	18
82	8	12	16
83	6	14	19
84	6	11	19
85	8	12	18
86	6	14	17
87	6	11	18
88	9	14	16
89	8	11	16
90	8	13	17
91	6	13	19
92	9	14	19
93	7	14	18
94	7	13	17
95	8	14	16
96	8	14	16
97	9	13	17
98	8	11	16
99	7	13	17
100	9	14	17
101	7	12	18
102	8	11	17
