1	2	9
1	3	8
1	4	7
1	5	9
1	6	6
1	7	8
1	8	5
2	9	6
3	10	7
4	11	8
5	12	7
6	13	6
7	14	2
8	15	1
8	16	7
8	17	1
8	18	6
9	19	3
10	19	2
10	20	2
10	21	6
10	60	1
11	19	1
11	20	2
11	21	1
11	22	7
11	42	3
11	60	8
12	20	9
12	21	6
12	22	1
12	23	8
12	42	1
13	22	9
13	23	6
13	25	9
13	42	9
13	43	6
14	22	8
14	23	6
14	25	8
14	43	4
15	24	1
15	26	4
15	27	6
16	28	5
17	29	2
18	30	7
19	54	8
20	55	1
21	31	5
22	32	2
23	33	2
24	31	8
24	32	2
24	33	3
24	34	9
25	34	8
26	35	8
27	36	4
28	38	3
28	39	6
28	53	1
29	39	2
29	40	4
29	41	8
29	70	9
30	40	9
30	41	8
30	70	9
31	42	8
32	42	1
32	43	9
33	42	2
33	43	6
34	43	5
35	44	7
35	46	4
35	59	6
36	44	3
36	46	2
36	59	4
37	45	7
37	47	2
37	48	7
38	47	4
39	48	2
40	63	5
41	64	8
42	49	8
42	56	6
42	57	1
42	71	4
42	74	9
43	77	6
44	51	1
45	50	8
45	51	2
45	52	1
46	52	2
47	53	9
49	66	6
50	54	3
50	55	2
50	58	7
51	59	2
52	59	4
53	77	7
54	60	7
55	77	7
56	65	8
57	67	9
58	61	3
58	63	2
58	64	6
59	62	5
59	69	3
59	75	4
59	76	8
60	77	8
61	65	1
61	66	2
61	67	4
61	68	1
62	72	4
63	70	5
64	70	4
65	71	9
66	71	5
67	71	2
68	72	7
68	73	2
69	73	8
70	77	2
71	74	2
72	75	9
73	75	4
74	77	7
75	76	8
76	77	5
