1	9	12	19
2	7	14	19
3	6	12	16
4	8	13	17
5	6	12	18
6	7	12	19
7	9	13	16
8	6	14	17
9	9	14	18
10	7	14	17
11	6	13	18
12	7	11	17
13	7	14	19
14	8	12	18
15	9	12	19
16	6	11	17
17	6	13	17
18	8	12	16
19	6	14	16
20	6	13	19
21	9	11	16
22	7	13	18
23	6	12	19
24	9	12	19
25	9	11	17
26	7	13	18
27	7	14	19
28	8	12	17
29	9	13	19
30	6	11	16
31	9	12	16
32	8	12	17
33	8	12	18
34	7	13	19
35	8	11	16
36	6	11	16
37	9	11	16
38	8	11	17
39	8	11	19
40	6	14	18
41	9	14	16
42	6	13	19
43	7	14	16
44	9	14	18
45	7	14	18
46	7	13	19
47	7	14	18
48	7	14	16
49	6	14	18
50	9	13	17
51	6	13	16
52	9	14	18
53	6	13	17
54	8	14	19
55	9	11	18
56	7	14	16
57	8	12	17
58	7	12	17
59	6	12	19
60	7	11	16
61	8	12	17
62	6	13	19
63	7	12	18
64	8	13	19
65	8	11	19
66	6	14	18
67	8	14	19
68	6	12	17
69	9	13	17
70	8	14	17
71	6	13	18
72	7	13	19
73	9	12	17
74	7	13	18
75	9	12	18
76	6	11	18
77	6	13	17
78	9	14	16
79	7	11	16
80	8	13	19
81	6	14	19
82	6	14	17
83	9	14	17
84	9	12	17
85	8	14	16
86	6	12	17
87	8	13	18
88	9	14	18
89	7	12	16
90	7	11	19
91	7	12	17
92	9	13	16
93	7	14	18
94	6	11	19
95	6	13	17
96	7	12	19
97	8	13	18
98	8	14	18
99	6	12	19
100	7	12	16
101	6	13	18
102	8	14	19
103	6	14	18
104	9	11	16
105	9	11	19
106	7	11	16
107	8	14	18
108	8	12	16
109	9	12	17
110	9	11	18
111	9	11	19
112	8	11	19
113	9	13	17
114	9	13	19
115	6	11	17
116	7	14	17
117	9	14	16
118	8	14	16
119	6	12	16
120	7	14	16
121	7	13	17
122	9	11	17
123	8	11	16
124	9	14	18
