1	9	13	16
2	6	11	19
3	7	13	19
4	7	14	17
5	9	12	17
6	6	14	19
7	7	11	16
8	6	13	18
9	7	14	19
10	6	11	17
11	7	11	17
12	9	11	19
13	9	12	18
14	7	13	18
15	6	12	16
16	9	13	16
17	6	12	18
18	7	13	17
19	7	14	17
20	6	11	18
21	9	13	16
22	8	14	17
23	6	11	16
24	9	11	19
25	7	13	16
26	8	11	18
27	9	11	17
28	7	12	18
29	6	13	18
30	7	12	16
31	8	14	16
32	6	13	17
33	8	11	16
34	6	11	16
35	9	13	19
36	7	12	19
37	9	11	19
38	8	11	17
39	9	11	16
40	8	11	18
41	8	12	19
42	7	12	16
43	6	11	17
44	9	11	17
45	6	12	17
46	7	13	18
47	8	12	16
48	9	14	16
49	6	13	18
50	6	13	16
51	7	12	19
52	9	14	17
53	7	13	17
54	8	13	19
55	9	13	18
56	8	11	19
57	9	12	17
58	6	12	16
59	6	12	18
60	7	14	19
61	9	13	16
62	6	11	17
63	6	14	16
64	8	12	18
65	7	14	19
66	6	13	16
67	6	11	18
68	7	14	16
69	8	14	18
70	8	14	19
71	7	13	16
72	8	11	18
73	8	12	19
74	6	14	18
75	7	11	16
76	9	11	18
77	8	13	19
