1	8	11	18	23	26	31	38	43
2	7	13	19	22	28	31	38	43
3	7	11	18	21	27	31	36	43
4	8	11	16	21	27	32	36	43
5	9	11	16	22	28	32	38	42
6	7	12	18	24	26	33	36	43
7	9	14	17	22	29	34	39	43
8	9	11	19	22	28	32	39	43
9	8	14	18	21	27	31	39	42
10	6	11	17	21	28	31	36	41
11	6	12	16	24	29	34	38	42
12	6	11	18	24	29	33	38	41
13	6	13	18	23	28	31	38	43
14	8	14	18	21	28	33	36	44
15	9	12	17	21	27	31	39	41
16	8	11	17	24	27	31	37	41
17	8	12	17	22	28	33	37	44
18	7	14	19	22	27	33	39	42
19	6	13	18	21	29	32	37	41
20	7	12	18	21	27	32	38	41
21	7	14	17	24	29	31	39	44
22	6	13	16	21	29	33	37	41
23	8	12	18	23	28	31	38	43
24	7	12	19	24	26	33	36	42
25	8	13	19	21	27	33	37	43
26	9	12	18	24	27	31	37	41
27	6	12	17	23	28	34	36	44
28	7	12	18	24	29	34	39	44
29	9	13	16	22	26	32	37	44
30	9	14	17	22	29	34	37	42
31	6	13	19	23	29	33	36	42
32	7	13	18	23	27	33	39	41
33	7	13	19	23	27	31	36	42
34	8	14	18	24	26	34	39	42
35	7	11	16	22	28	31	39	44
36	9	13	16	24	29	32	36	44
37	9	13	17	22	26	34	39	41
38	8	14	18	23	26	31	37	44
39	8	11	16	21	27	33	39	41
40	7	12	19	24	27	32	39	42
41	7	12	18	24	29	34	37	41
42	7	12	16	24	28	31	36	43
43	8	14	17	22	29	34	37	44
44	7	11	16	22	29	33	39	42
45	8	12	17	22	27	34	37	43
46	6	11	16	24	27	34	37	42
47	6	13	16	22	26	34	39	41
48	8	11	16	24	29	32	38	43
49	7	12	16	21	26	31	39	43
50	6	12	18	23	26	33	38	43
51	9	12	16	23	27	34	37	43
52	8	12	16	22	26	34	37	43
53	9	11	18	23	28	32	37	42
54	9	11	16	21	27	31	37	43
55	9	12	16	22	27	32	39	42
56	9	13	17	24	29	33	38	41
57	9	11	18	21	27	32	36	42
58	7	14	16	24	28	31	37	41
59	8	14	17	24	29	33	38	41
60	8	11	18	22	29	34	36	42
61	6	14	16	24	26	34	38	42
62	6	14	16	23	26	34	37	44
63	6	12	16	23	26	31	38	41
64	6	12	17	23	27	32	38	42
65	8	13	16	22	28	32	37	41
66	6	11	19	21	27	32	38	41
67	9	11	17	24	26	34	37	41
68	7	11	19	24	27	34	39	42
69	8	11	16	24	29	32	37	42
70	8	12	16	23	26	34	39	42
71	6	13	17	21	27	31	39	44
72	7	14	19	24	27	34	38	44
73	7	13	18	24	27	31	37	41
74	9	12	19	21	26	34	39	44
75	7	11	17	21	27	31	36	41
76	6	12	17	22	27	34	38	44
77	7	12	19	22	26	32	38	42
