1	6	11	18	23	26
2	8	11	16	22	27
3	8	12	18	23	28
4	9	13	18	24	27
5	8	11	16	24	29
6	8	11	16	23	27
7	6	11	16	23	26
8	6	14	16	22	26
9	9	11	19	23	26
10	6	13	18	23	27
11	7	14	16	24	27
12	9	14	17	24	27
13	8	12	16	23	28
14	9	11	19	22	26
15	6	13	19	21	26
16	6	11	16	22	28
17	7	13	17	21	26
18	8	12	16	22	27
19	7	13	19	24	27
20	7	14	17	22	27
21	6	12	16	22	27
22	6	13	17	23	26
23	8	12	18	24	27
24	8	11	18	24	26
25	7	14	17	24	28
26	9	12	16	22	27
27	8	11	17	23	28
28	7	11	16	24	28
29	7	13	19	24	26
30	6	12	16	24	26
31	9	11	16	23	26
32	8	11	18	22	29
33	9	12	16	21	29
34	8	14	16	23	26
35	8	13	17	22	26
36	6	11	17	23	28
37	7	14	16	24	27
38	8	13	18	24	29
39	6	13	16	24	28
40	6	12	18	22	26
41	7	13	17	22	27
42	6	13	19	23	26
43	6	13	18	21	27
44	6	13	19	21	28
45	7	12	19	23	28
46	7	12	18	24	26
47	7	14	17	21	27
48	8	13	19	24	29
49	9	13	16	22	29
50	9	11	18	21	26
51	9	11	16	22	28
52	9	11	19	21	26
53	7	14	18	23	27
54	6	14	16	22	26
55	7	12	18	24	27
56	9	12	16	24	28
57	6	14	17	24	28
58	8	11	16	21	28
59	8	13	17	21	27
60	8	14	19	23	28
61	8	13	18	21	27
62	7	14	17	24	28
63	9	11	16	23	27
64	9	12	19	21	27
65	9	11	16	21	27
66	9	11	16	24	29
67	7	11	17	22	27
68	8	11	17	21	27
69	6	12	17	24	28
70	9	14	17	22	29
71	8	12	16	22	28
72	6	11	17	23	26
73	7	11	19	24	29
74	7	14	17	23	28
75	6	14	16	22	27
76	7	11	19	23	29
77	6	13	16	24	29
78	9	14	16	21	28
79	8	13	16	24	27
80	7	12	18	22	29
81	9	11	19	23	26
82	7	12	19	23	26
83	6	11	16	23	26
84	9	14	18	21	27
85	8	12	17	22	27
86	8	13	17	23	29
87	7	14	18	22	29
88	9	14	18	24	26
89	7	14	17	22	28
90	7	12	17	21	27
91	9	12	17	23	28
92	6	14	18	23	28
93	7	13	16	23	28
94	6	12	18	21	27
95	9	14	16	21	26
96	7	13	16	21	28
97	9	12	19	24	26
98	6	12	19	23	27
99	6	13	19	21	26
100	9	11	17	23	29
101	7	11	19	22	28
102	7	11	17	24	26
103	7	11	18	24	29
104	7	11	16	22	26
105	6	14	16	21	27
106	6	12	16	23	28
107	7	12	16	24	29
108	6	11	16	24	29
109	8	11	18	24	28
110	7	14	17	21	27
111	6	11	17	24	26
112	6	13	18	21	29
113	7	12	17	23	26
114	9	11	17	24	28
115	6	13	16	22	26
116	8	13	19	21	29
117	8	13	19	23	29
118	6	11	16	24	29
119	7	12	18	21	27
120	9	14	17	22	26
121	6	12	19	24	28
122	7	13	17	23	26
123	9	13	18	22	27
124	8	11	16	22	29
