1	7	14	16	24	28
2	7	12	18	24	27
3	8	12	19	21	28
4	9	11	16	23	28
5	8	13	18	22	28
6	8	14	17	21	26
7	9	13	16	24	27
8	6	12	17	22	26
9	7	11	19	22	26
10	7	12	19	21	29
11	7	13	16	21	28
12	7	13	18	24	27
13	7	12	16	24	27
14	6	14	17	22	27
15	9	11	19	23	28
16	8	11	17	23	29
17	7	14	17	24	29
18	9	13	17	24	28
19	7	13	19	21	26
20	9	12	17	21	29
21	6	11	16	24	26
22	9	12	17	23	27
23	8	14	17	24	28
24	6	11	17	21	26
25	8	11	19	23	27
26	6	12	19	22	29
27	7	11	18	23	29
28	9	14	19	22	27
29	6	12	17	24	27
30	7	12	16	24	28
31	9	13	19	23	29
32	7	11	17	22	28
33	6	13	16	24	29
34	6	14	18	23	28
35	6	11	19	23	27
36	6	13	19	24	28
37	7	13	17	21	27
38	9	14	19	23	26
39	6	14	18	21	27
40	6	12	16	23	27
41	7	14	17	23	26
42	7	12	18	22	26
43	8	12	19	21	29
44	9	14	19	23	26
45	9	11	19	21	28
46	9	12	17	21	26
47	8	11	16	24	29
48	8	13	16	23	29
49	7	13	19	21	27
50	6	13	19	23	26
51	6	12	18	23	27
52	8	11	19	24	29
53	6	13	17	21	27
54	8	12	16	22	27
55	8	14	17	22	28
56	9	11	17	21	29
57	7	14	16	22	29
58	7	11	17	24	28
59	8	11	16	24	27
60	8	13	17	24	29
61	8	11	19	21	26
62	6	13	16	24	29
63	7	13	17	24	26
64	9	11	19	23	29
65	9	11	19	22	26
66	9	11	16	23	26
67	8	12	16	21	27
68	6	12	17	23	27
69	8	12	16	21	29
70	8	14	18	22	26
71	7	13	16	22	29
72	8	13	19	23	29
73	7	11	19	24	29
74	9	12	17	23	27
75	7	13	16	23	28
76	6	14	16	21	28
77	6	13	19	22	28
78	6	11	17	21	27
79	8	13	16	21	27
80	9	12	17	24	28
81	7	13	18	23	28
82	7	13	19	22	28
83	8	11	19	24	29
84	7	11	16	21	26
85	7	14	19	24	28
86	9	14	18	23	28
87	9	12	18	23	26
88	8	11	17	24	28
89	9	12	19	23	28
90	9	13	18	21	27
91	9	12	18	24	29
92	7	11	19	24	26
93	6	11	16	23	26
94	6	11	19	21	28
95	9	11	16	21	29
96	6	13	18	24	28
97	7	11	16	22	26
98	6	13	17	21	26
99	9	14	17	24	29
100	9	12	17	24	26
101	6	12	19	21	27
102	9	12	19	24	27
