1	8	13	17	23	28	33	39	43
2	6	12	16	22	28	33	37	43
3	6	13	16	24	26	34	39	44
4	8	14	16	21	29	32	37	44
5	7	11	16	21	26	34	38	41
6	9	11	19	21	29	33	37	41
7	8	11	19	22	29	33	36	44
8	6	11	16	22	27	34	37	41
9	6	12	16	24	26	34	39	43
10	6	13	18	21	27	33	36	41
11	6	14	16	21	27	34	37	43
12	9	11	18	24	27	33	36	43
13	6	14	17	23	29	33	36	44
14	7	14	17	21	28	34	38	44
15	6	14	16	21	28	34	39	44
16	9	12	18	23	29	34	37	42
17	9	13	18	23	27	32	38	41
18	8	13	16	23	29	32	36	44
19	7	11	16	24	26	34	37	41
20	9	13	18	22	26	31	38	41
21	6	13	19	23	27	32	38	41
22	6	11	19	21	26	33	39	43
23	7	11	19	23	28	33	39	41
24	9	13	19	23	27	33	39	44
25	6	13	18	24	27	33	36	42
26	9	12	17	21	27	34	37	43
27	6	12	19	21	27	31	39	41
28	6	12	18	24	27	32	37	41
29	6	13	16	23	28	32	39	41
30	7	14	18	22	29	32	39	44
31	9	13	17	22	28	34	38	43
32	8	12	16	22	28	34	38	43
33	8	14	19	24	29	34	36	44
34	8	12	19	22	27	33	37	44
35	6	14	19	23	27	34	38	41
36	9	14	18	24	27	31	37	41
37	8	14	19	24	27	34	37	41
38	6	12	16	23	26	32	36	43
39	7	12	17	21	27	32	38	43
40	8	13	17	21	27	31	37	44
41	9	12	19	22	26	33	36	42
42	7	12	19	24	26	33	38	44
43	6	12	17	21	26	34	39	42
44	6	14	18	23	29	33	37	44
45	6	11	19	21	27	31	39	44
46	7	11	18	22	26	33	39	41
47	8	12	17	21	28	32	39	42
48	8	12	16	23	27	33	39	41
49	6	13	18	21	29	32	36	42
50	6	11	16	24	29	31	38	41
51	9	14	16	21	26	33	38	42
52	9	14	17	22	29	32	37	43
53	7	11	17	22	26	34	39	42
