1	7	12	19
2	6	13	18
3	9	12	16
4	6	12	17
5	6	13	17
6	9	12	19
7	9	14	19
8	6	12	17
9	8	11	16
10	9	13	19
11	9	11	18
12	8	11	16
13	9	11	18
14	8	14	16
15	6	14	19
16	7	11	18
17	6	12	17
18	6	12	19
19	9	11	18
20	9	13	17
21	9	11	19
22	9	13	16
23	9	13	16
24	6	14	16
25	6	11	18
26	6	14	19
27	6	11	17
28	9	13	16
29	7	12	18
30	6	14	17
31	9	12	19
32	7	14	16
33	7	11	17
34	7	11	19
35	7	12	16
36	6	12	18
37	8	11	17
38	6	13	16
39	7	11	16
40	8	14	16
41	6	12	17
42	6	11	18
43	7	11	16
44	9	12	18
45	7	11	17
46	8	11	17
47	6	13	17
48	8	13	16
49	8	12	16
50	8	13	18
51	8	13	17
52	8	12	19
53	6	11	19
